BOEING HELICOPTERS C U,1807
BOFI FEDERAL BANK,64356
BOKF NA,62765
"BOND STREET MORTGAGE, LLC",192
BOULEVARD BANK,300
BRANCH BANKING AND TRUST CO,9637605
BRAND MORTGAGE GROUP LLC,168911
BRIDGEVIEW BANK MORTGAGE COMPA,147345
"BROKER SOLUTIONS, INC.",245271
BRONCO FEDERAL CREDIT UNION,24656
BUCKS FIRST FCU,76
BULLLDOG FEDERA CREDIT UNION,1400
BURKE & HERBERT BANK & TRUST,259552
C&F MORTGAGE CORP,1826365
"C.U. MORTGAGE SERVICES, INC.",277
"CADENCE BANK, N.A.",99
CALHOUN COUNTY BANK,1662
CALIBER FUNDING LLC,1400418
CALIBER HOME LOANS,971422
CALL FEDERAL CREDIT UNION,56007
CALVIN B TAYLOR BANKING CO,7091
CAMC FEDERAL CREDIT UNION,10823
CAPE BANK,2715
CAPITAL BANK,1084916
CAPITAL BANK N.A.,1139
CAPITAL BANK OF NEW JERSEY,1031
CAPITAL CENTER LLC,1444269
CAPITAL ONE NA,1600338
CAPON VALLEY BANK,18116
CARDINAL BANK,4602
CARDINAL FINANCIAL COMPANY,352732
CAROLINA BANK,685992
"CAROLINA FARM CREDIT, ACA",2814
CAROLINA PREMIER BANK,466
CARRINGTON MORTGAGE SERVICES,520995
CARROLL COMMUNITY BANK,12304
CARROLLTON BANK,353793
CARTER BANK & TRUST,41739
CARTER FEDERAL CREDIT UNION,773
"CASHCALL, INC",14781
CASTLE MORTGAGE CORPORATION,1514
CBC NATIONAL BANK,161094
CDC FEDERAL CREDIT UNION,745
CECIL BANK,14725
CEDAR POINT FEDERAL CREDIT UNI,67357
CELCO FEDERAL CREDIT UNION,6751
CELTIC BANK CORP,3870
CENT MTG CO DBA CENTURY LEND,1185703
CENTENNIAL BANK,594
"CENTENNIAL LENDING GROUP, LLC",2192
CENTRA BANK INC (WV),22131
CENTRAL BANK OF ST. LOUIS,2547
CENTRAL TRUST BANK,883
CENTRAL VIRGINIA BANK,3062
CENTRAL VIRGINIA FCU,6148
"CERTUSBANK, N.A.",119107
CFBANK,228
CFG COMMUNITY BANK,749
"CHAIN BRIDGE BANK, N.A.",81856
CHARLES SCHWAB BANK,131464
CHARTERBANK,400
CHARTWAY FEDERAL CREDIT UNION,87816
CHEMUNG CANAL TRUST CO,524
"CHERRY CREEK MORTGAGE CO., INC",26247
CHESAPEAKE BANK,130362
CHESAPEAKE BANK OF MARYLAND,46364
CHESSIE FEDERAL CREDIT UNION,43743
CHESTERFIELD FEDERAL CREDIT UN,3985
CHEVRON FEDERAL CREDIT UNION,19821
CHICAGO BANCORP,6901
CHICAGO MORTGAGE SOLUTIONS,400511
"CHRISTENSEN FINANCIAL, INC.",36365
CHRISTIAN COMMUNITY CREDIT UNI,570
CHURCHILL MORTGAGE CORPORATION,134906
"CIS FINANCIAL SERVICES, INC.",5609
CITADEL FEDERAL CREDIT UNION,8757
"CITIBANK, N.A.",5550310
"CITIMORTGAGE, INC",1032
CITIZENS & FARMERS BANK,75628
CITIZENS BANK,568
CITIZENS BANK & TRUST CO.,12606
CITIZENS BANK OF PENNSYLVANIA,596
"CITIZENS BANK, N.A.",2728
CITIZENS DEPOSIT BANK,19649
CITIZENS NATIONAL BANK,2769
CITIZENS NB OF PAINTSVILLE,1287
CITY NATIONAL BANK OF WV,575757
CITYWORTH MORTGAGE LLC,43534
CLAY COUNTY BANK,11155
CLEAR MOUNTAIN BANK,186914
"CLEARPOINT FUNDING, INC.",244895
CLEARVIEW FEDERAL CREDIT UNION,2531
"CMC FUNDING, INC.",6062
"CMCO MORTGAGE, LLC DBA HOME LE",10699
"CMG FINANCIAL, INC",338374
CNB,25811
CNB BANK,831
CNB BANK INC.,43758
CNB MORTGAGE COMPANY,1384
COASTAL FEDERAL CREDIT UNION,10537
COLE TAYLOR BANK,318683
COLOMBO BANK,64858
COLONIAL FARM CREDIT ACA,117240
COLONIAL MORTGAGE COMPANY LLC,268
"COLONIAL SAVINGS, F.A.",185506
COLONIAL VIRGNIA BANK,2615
COLORADO FEDERAL SAVINGS BANK,289734
COMERICA BANK,1694
COMMERCIAL BANK,3465
COMMONWEALTH ONE FCU,41413
COMMUNITY BANK,7137
COMMUNITY BANK OAK PARK RIVER,255
COMMUNITY BANK OF PARKERSBURG,45800
COMMUNITY BANK OF TRI-COUNTY,89070
COMMUNITY FIRST BANK,691
COMMUNITY FIRST CREDIT UNION,860
COMMUNITY FIRST CU OF FL,696
COMMUNITY FIRST NATIONAL BANK,439
COMMUNITY POWERED FCU,6640
COMMUNITY TRUST BANK,1166
"COMMUNITY TRUST BANK, INC.",25493
COMPASS BANK,4325
COMSTAR FEDERAL CREDIT UNION,61686
CONESTOGA BANK,42
CONGRESSIONAL BANK,195263
CONGRESSIONAL FEDERAL CREDIT U,86504
CONNECTS FEDERAL CREDIT UNION,643
CONSTELLATION FCU,46355
CONTINENTAL BANK,5322
CONTINENTAL HOME LOANS INC.,5092
CORNERSTONE FEDERAL CREDIT UNI,202
CORNERSTONE MORTGAGE COMPANY,31531
CORNERSTONE NATIONAL BANK & TR,999
CORNING FEDERAL CREDIT UNION,4002
CORPORATE AMERICA FAMILY CU,9851
CORPORATE INVESTORS MORTGAGE,1239
"CORRIDOR MORTGAGE GROUP, INC",986363
CORRIDOR MTG CO LLC,2168
COUNTRYSIDE FED CREDIT UNION,1406
COUNTY BANK,4135
COUNTY FIRST BANK,207
COUNTY SAVINGS BANK,232
CREDIT UNION MORTGAGE ASSOC.,1183996
CREDIT UNION OF NEW JERSEY,398
CRESCENT MORTGAGE COMPANY,192069
CRESCOM BANK,440
CROSS RIVER BANK,1416
CROSSCOUNTRY MORTGAGE INC,279028
CROSSLINE CAPITAL INC.,22843
"CU COMMUNITY, LLC",278
CUSTOMERS BANK,62765
DAMASCUS COMMUNITY BANK,18327
DB PRIVATE WEATH MORTGAGE LTD.,13216
DC TEACHERS FCU,200
DEDICATED COMMUNITY BANK,61
DEERE EMPLOYEES CREDIT UNION,554
DEL-ONE FCU,53032
DELAWARE STATE POLICE FEDERAL,5954
DELTA COMMUNITY CREDIT UNION,4067
DEPARTMENT OF COMMERCE FCU,57032
DEPARTMENT OF THE INTERIOR FCU,1372
DEPT OF LABOR FCU,114
DESCO FEDERAL CREDIT UNION,6633
DESERET FIRST CREDIT UNION,906
DESTINATIONS CREDIT UNION,1809
DEVON BANK,2262
DEXSTA FEDERAL CREDIT UNION,10718
